Time,External Nutrition,Internal Nutrition,Active Hyphal,Tip
1.02,1438449.88262475,11259.1809022854,1347,994
1.03,1438106.45873609,11478.2623379834,1401,1004
1.04,1437615.95376596,11801.4585116928,1447,1020
1.05,1437157.28100029,12243.7165511939,1512,1034
1.06,1436788.7410298,12638.5220597346,1554,1070
1.07,1436521.56240051,12931.6745326886,1607,1098
1.08,1436251.56274052,13186.4611542148,1643,1122
1.09,1435911.56331664,13408.6683983596,1685,1160
1.1,1435571.56389664,13735.4602404217,1738,1184
1.11,1435201.56441666,14104.4595074331,1788,1214
1.12,1434713.72132976,14504.7317975336,1846,1250
1.13,1434353.72188976,14846.7167448828,1888,1293
1.14,1433943.72240035,15182.5174524298,1958,1315
1.15,1433513.72302035,15611.7245332804,2013,1353
1.16,1432978.42327017,15985.4945661796,2077,1375
1.17,1432630.59242263,16436.3344755944,2122,1408
1.18,1432121.95138827,16721.5416336165,2205,1411
1.19,1431639.65864347,17260.3182886178,2254,1449
1.2,1431093.36520094,17694.3817762134,2315,1481
1.21,1430598.3095293,18150.0460012088,2373,1519
1.22,1430052.33645431,18532.5964210648,2447,1570
1.23,1429418.76722674,19116.7639254679,2533,1586
1.24,1428917.82308682,19612.1840595539,2588,1656
1.25,1428418.21014183,20083.8263576123,2676,1664
1.26,1427873.4154299,20633.8688373959,2738,1702
1.27,1427286.55872828,21068.7822562646,2822,1725
1.28,1426594.43386864,21587.9642957849,2902,1780
1.29,1426084.46556293,22235.0562355765,2967,1823
1.3,1425524.4664629,22658.0557265646,3040,1865
1.31,1425044.46707096,23171.0547948874,3122,1912
1.32,1424419.47819394,23629.2911265833,3210,1923
1.33,1423871.64548655,24177.3365181947,3274,1979
1.34,1423250.07142988,24738.8151727318,3353,2018
1.35,1422374.7483399,25292.8025501056,3445,2059
1.36,1421934.74893991,25969.8011084636,3548,2075
1.37,1421314.74985993,26494.5929800455,3620,2136
1.38,1420794.75060166,26944.5918107068,3703,2184
1.39,1419890.19293552,27479.1328535659,3810,2198
1.4,1419143.72102074,28367.5187300842,3917,2229
1.41,1418377.43732941,29010.484089498,4028,2257
1.42,1417575.23895519,29782.451210705,4115,2304
1.43,1416895.24013519,30375.944040885,4209,2351
1.44,1416172.66255175,31012.1505075514,4303,2402
1.45,1415582.77485972,31668.5774403031,4388,2470
1.46,1414882.77597972,32175.369288587,4493,2514
1.47,1413989.6089729,32848.8186095212,4624,2526
1.48,1413087.79408864,33860.0663908458,4720,2581
1.49,1412330.86080333,34445.4105817898,4832,2622
1.5,1411463.43664096,35240.2400456695,4941,2677
1.51,1410569.679337,36027.9108336382,5038,2745
1.52,1409609.37117597,36828.1797676162,5139,2816
1.53,1408712.89298705,37669.5940679085,5278,2851
1.54,1407852.89430705,38409.4699676418,5389,2907
1.55,1406941.12870391,39222.2500653748,5523,2958
1.56,1405787.13151116,40104.2190752395,5658,2992
1.57,1404969.33186916,41124.7972521211,5780,3056
1.58,1404057.67848326,41787.6756779538,5903,3112
1.59,1402649.25761699,42896.9912607021,6040,3164
1.6,1401568.22498923,43977.6378640698,6160,3254
1.61,1400507.57909859,44827.2505664822,6309,3293
