Time,External Nutrition,Internal Nutrition,Active Hyphal,Tip
5.39,157942914.15026,1844677.87459676,377804,72482
5.4,157930104.129295,1855741.21662697,380298,72717
5.41,157917384.398745,1867446.05384861,382734,73053
5.42,157904964.467869,1878772.45835662,385131,73388
5.43,157892444.496368,1889827.13866001,387584,73701
5.44,157880460.676523,1900759.48702631,389912,74098
5.45,157867770.709299,1912054.56705899,392392,74410
5.46,157854980.781924,1923425.65850185,394910,74691
5.47,157841842.387046,1935214.34269602,397405,74976
5.48,157828974.211068,1946912.23500094,399875,75238
5.49,157815984.486348,1958378.40433569,402587,75397
5.5,157802346.495398,1970237.64534504,405099,75825
5.51,157788919.358831,1982641.58004232,407719,76120
5.52,157775789.58585,1994910.47594186,410229,76520
5.53,157763019.968496,2006369.03036158,412784,76871
5.54,157749460.333363,2018075.42286595,415153,77408
5.55,157736710.585207,2030106.76380711,417875,77490
5.56,157723000.628295,2041813.70306664,420482,77896
5.57,157710072.669142,2054121.8286816,423071,78285
5.58,157696963.107051,2065568.17665571,425765,78517
5.59,157683455.666796,2077427.62634969,428244,79059
5.6,157669885.908545,2089793.06256041,431059,79359
5.61,157655883.904991,2102130.8059445,433704,79793
5.62,157641632.572721,2114663.20898269,436326,80185
5.63,157627726.837963,2127367.29795349,439124,80517
5.64,157613836.986716,2140085.71501188,441800,80978
5.65,157599789.709869,2152383.7400976,444631,81335
5.66,157585039.350976,2165683.61192566,447293,81869
5.67,157570895.259888,2178561.85026246,449999,82299
5.68,157556425.219925,2191343.0498065,452700,82739
5.69,157542195.381861,2204397.73074363,455510,83133
5.7,157527355.473724,2217481.09520617,458239,83579
5.71,157513463.428656,2230248.75552244,461049,83952
5.72,157498811.956699,2243275.19894363,463987,84200
5.73,157483862.048953,2256769.51281996,466705,84688
5.74,157468952.087851,2269719.62081878,469496,85169
5.75,157454852.428574,2283045.18211144,472275,85559
