Time,External Nutrition,Internal Nutrition,Active Hyphal,Inactive Hyphal,Tip
387,156220.249275929,268.217060176648,3,0,14
388,156220.209856071,268.503746931834,3,0,14
389,156220.176646099,268.744674900929,3,0,14
390,156220.148674962,268.947155488767,3,0,14
391,156220.125121262,269.117332672692,3,0,14
392,156220.105290858,269.260368257206,3,0,14
393,156220.088597631,269.380598347137,3,0,14
394,156220.074546988,269.481665242477,3,0,14
395,156220.062721799,269.566628453281,3,0,14
396,156220.052770418,269.63805804397,3,0,14
397,156220.044396514,269.69811306435,3,0,14
398,156220.037350442,269.748607419498,3,0,14
399,156220.031421941,269.791065174613,3,0,14
400,156220.026433961,269.826766982428,3,0,14
401,156220.022237436,269.856789056074,3,0,14
402,156220.018706887,269.882035884844,3,0,14
403,156220.015736697,269.903267699156,3,0,14
404,156220.013237979,269.92112352966,3,0,14
405,156220.011135928,269.936140569488,3,0,14
406,156220.0093676,269.948770434384,3,0,14
407,156220.00788003,269.959392819515,3,0,14
408,156220.006628656,269.968326971263,3,0,14
409,156220.005575982,269.975841324823,3,0,14
410,156220.004690465,269.982161601865,3,0,14
411,156220.003945565,269.987477615091,3,0,14
412,156220.003318956,269.991948986809,3,0,14
413,156220.002791856,269.9957099553,3,0,14
414,156220.002348464,269.998873414882,3,0,14
415,156220.001975487,270.0015343121,3,0,14
416,156220.001661743,270.003772500889,3,0,14
417,156220.001397826,270.005655143058,3,0,14
418,156220.001175823,270.007238726613,3,0,14
419,156220.000989079,280.54503328585,4,0,15
420,156218.412694102,301.52539736365,5,0,14
421,156215.493885046,323.177863785873,5,0,15
422,156212.89137837,355.809944377527,6,0,14
423,156208.755470189,389.098919410889,6,0,14
424,156205.10484633,419.202143970994,6,0,14
425,156201.919141397,445.193347278639,6,0,14
426,156199.243908517,466.785744252777,6,0,14
427,156197.067942005,484.184846147688,6,0,14
428,156195.343421289,505.087244192217,7,0,14
429,156191.678939547,538.000272075619,7,0,14
430,156188.677850635,564.713016730426,7,0,14
431,156186.266222889,585.086011212071,7,0,14
432,156184.431766694,599.758716444342,7,0,14
433,156183.096448752,609.911429952778,7,0,14
434,156182.150879418,616.763915057918,7,0,14
435,156181.491084561,621.324951196282,7,0,14
436,156181.033717766,624.338497594064,7,0,14
437,156180.717324284,626.321554526663,7,0,14
438,156180.498405305,627.622945392306,7,0,15
439,156180.346746934,644.791641794137,8,0,14
440,156177.27537302,664.855706926961,8,0,14
441,156174.95749801,678.976176307274,8,0,14
442,156173.257267093,690.348257833705,8,0,14
443,156172.092735671,698.593254345969,8,0,14
444,156171.335017178,704.462652111121,8,0,14
445,156170.853514108,708.633812968385,8,0,14
446,156170.549006221,711.618119627511,8,0,14
447,156170.355623414,713.772930688914,8,0,14
448,156170.231899353,715.343748010252,8,0,14
449,156170.152109862,716.499376333037,9,0,14
450,156166.613131208,746.218955741435,9,0,14
451,156164.16032882,795.792258282289,10,0,14
452,156159.247835072,830.645583923642,10,0,14
453,156155.959831539,854.670136911846,10,0,14
454,156153.791168666,870.2232274441,10,0,14
455,156152.395203482,880.152505210567,10,0,14
456,156151.508014504,886.503485865279,10,0,14
457,156150.947679265,890.602174398501,10,0,14
458,156150.594904824,893.283420801577,10,0,14
459,156150.373193133,895.068623747646,10,0,14
460,156150.233995649,896.282952990018,10,0,14
461,156150.146661651,897.129496298784,10,0,14
462,156150.091893765,897.735575403352,10,0,14
463,156150.057561542,898.181512961095,10,0,14
464,156150.036046868,898.518438183985,10,0,14
465,156150.022568434,898.779288948128,10,0,14
466,156150.014126788,898.985609825186,10,0,14
467,156150.008841023,899.151758766602,10,0,15
468,156150.005532065,935.161950765296,11,0,14
469,156146.267213346,953.098777487737,11,0,14
470,156143.958395574,966.467547645021,11,0,14
471,156142.442748895,975.789949740043,11,0,15
472,156141.487175503,1010.11594534632,12,0,14
473,156137.032640124,1037.0287759704,12,0,14
474,156134.001560597,1054.21801703157,12,0,14
475,156132.150439333,1064.03514446684,12,0,14
476,156131.124806739,1069.29808554641,12,0,14
477,156130.586221414,1072.15677797799,12,0,14
478,156130.308006618,1073.82390119047,12,0,14
479,156130.163813571,1074.76306350087,11,0,15
480,156130.088239155,1106.02960084884,13,0,14
481,156121.797059666,1168.90837691618,13,0,14
482,156116.614158057,1208.52462351918,13,0,14
483,156113.590573,1231.26604681215,13,0,14
484,156111.921237889,1243.91161344392,13,0,14
485,156111.022465338,1250.86897913827,13,0,14
486,156110.543277424,1254.70396218574,13,0,14
487,156110.288599729,1256.83587522101,13,0,14
488,156110.1533328,1258.0364753613,13,0,14
489,156110.081479733,1258.72452777258,13,0,14
490,156110.043302005,1259.12809114777,13,0,14
491,156110.02301316,1259.37206351531,13,0,14
492,156110.012230068,1259.52528838247,13,0,15
493,156110.006499049,1290.97933240273,14,0,14
494,156105.317748893,1313.75425884262,14,0,14
495,156102.768289172,1343.0904700001,15,0,14
496,156096.717165087,1389.67338868621,15,0,14
497,156093.326623258,1415.31548901452,15,0,14
498,156091.602563156,1428.15629826192,15,0,14
499,156090.771752463,1434.38298169579,16,0,14
500,156085.194907035,1483.24028915383,15,1,14
501,156082.279715767,1505.71089990726,15,1,14
502,156080.993501922,1517.86839001985,15,1,14
503,156080.445518653,1523.91114237189,15,1,14
504,156080.204733514,1526.9426850886,15,1,14
505,156080.095557867,1528.4844151325,15,1,15
506,156080.045046971,1554.62286923151,16,1,14
507,156074.857258252,1591.47811896496,16,1,14
508,156072.311467944,1607.34052440645,16,1,14
509,156071.08762098,1614.79292322779,16,1,14
510,156070.510733629,1618.18302443039,16,1,14
511,156070.240013375,1619.6755883824,16,1,14
512,156070.112932341,1620.29722646235,16,1,14
513,156070.05319573,1620.52614367285,16,1,14
514,156070.025078253,1620.58272721572,16,1,14
515,156070.011830007,1620.56743223142,16,1,14
516,156070.00558307,1620.52529114408,16,1,15
517,156070.002635827,1647.98653779185,17,1,14
518,156064.726128404,1682.93105870676,17,1,15
519,156062.216744656,1759.81439118408,18,1,14
520,156054.502232402,1786.96793320383,19,1,14
521,156046.474820094,1845.63969662253,19,1,15
522,156042.823869576,1907.08837886212,21,1,14
523,156030.571132429,2022.38152104363,22,1,14
524,156018.834242304,2100.97193667399,22,1,14
525,156013.121986891,2137.53490756954,22,1,14
526,156011.092183173,2150.38931304123,22,1,14
527,156010.408174043,2155.40043405856,22,1,14
528,156010.159068256,2157.70108007319,22,1,14
529,156010.063294758,2158.8116451184,22,1,14
530,156010.025459514,2159.34973195256,22,1,14
531,156010.010304094,2159.60704770113,22,1,14
532,156010.004186404,2159.72633679638,22,1,14
533,156010.001705297,2159.77807908095,22,1,14
534,156010.000695932,2159.79734672322,22,1,14
535,156010.000284407,2159.80174097248,22,1,14
536,156010.000116354,2201.48630078983,23,1,14
537,156004.137622139,2232.0015282097,23,1,14
538,156001.633592241,2263.77191908881,25,1,14
539,155989.796871179,2377.42217526558,25,1,14
540,155983.913823505,2414.93943971573,26,1,14
541,155975.38852854,2479.27544412696,26,1,14
542,155972.034895604,2505.76872008627,26,1,14
543,155970.755969544,2546.24127624552,27,1,14
544,155964.14548166,2592.31821428328,27,1,15
545,155961.336998685,2654.49562898542,28,1,14
546,155954.198737971,2689.78923276401,28,1,14
547,155951.300066626,2700.24273069453,28,1,15
548,155950.40494956,2746.57515335838,29,1,14
549,155943.893208186,2776.62311634957,29,1,14
550,155941.175001436,2786.11454932662,29,1,15
551,155940.352876878,2814.41541876631,30,1,14
552,155936.123654409,2846.21581584336,30,1,14
553,155932.770999397,2898.66250568156,31,1,14
554,155924.528598345,2950.61459134364,31,1,14
555,155921.36289261,2967.49255697532,31,1,14
556,155920.409984962,2980.21259668214,32,1,14
557,155913.845391883,3036.20548106241,32,1,15
558,155911.103242894,3100.34993949183,33,1,15
559,155903.776056313,3172.61486456109,34,1,14
560,155894.872310869,3215.559086966,35,1,14
